verbatimScientificName,decimalLongitude,decimalLatitude
Quercus (Quercus) tomentella,NA,NA
Quercus (Quercus) tomentella,NA,NA
Quercus (Quercus) tomentella,NA,NA
Quercus (Quercus) tomentella,NA,NA
Quercus (Quercus) tomentella,NA,NA
Quercus (Quercus) tomentella,NA,NA
Quercus (Quercus) tomentella,NA,NA
Quercus (Quercus) tomentella,NA,NA
Quercus (Quercus) tomentella,NA,NA
Quercus acerifolia,-94.06065,34.208229
Quercus acerifolia,-93.733845,35.01972
Quercus acerifolia,-93.727509,35.026392
Quercus acerifolia,-86.18813,35.039751
Quercus acerifolia,-86.054641,35.066328
Quercus acerifolia,-93.796696,35.079237
Quercus acerifolia,-93.765659,35.08981
Quercus acerifolia,-93.640529,35.097924
Quercus acerifolia,-94.382511,35.107503
Quercus acerifolia,-93.693505,35.10864
Quercus acerifolia,-93.64472,35.16722
Quercus acerifolia,-93.644972,35.167283
Quercus acerifolia,-93.644972,35.167283
Quercus acerifolia,-86.039125,35.194856
Quercus acerifolia,NA,NA
Quercus acerifolia,NA,NA
Quercus acerifolia,NA,NA
Quercus acerifolia,NA,NA
Quercus acerifolia,NA,NA
Quercus acerifolia,NA,NA
Quercus acerifolia,NA,NA
Quercus acerifolia,NA,NA
Quercus acerifolia,NA,NA
Quercus acerifolia,NA,NA
Quercus acerifolia,NA,NA
Quercus acerifolia,NA,NA
Quercus acerifolia,NA,NA
Quercus acerifolia,NA,NA
Quercus acerifolia (E. J. Palmer) N. Stoynoff & W. J. Hess,-93,35
Quercus acerifolia (E. J. Palmer) N. Stoynoff & W. J. Hess,-93,35
Quercus acerifolia (E. J. Palmer) N. Stoynoff & W. J. Hess,-93,35
Quercus acerifolia (E.J. Palmer) Stoynoff & W.J. Hess,-94.06167,34.38615
Quercus acerifolia (E.J. Palmer) Stoynoff & W.J. Hess,-92.8529,34.73371
Quercus acerifolia (E.J. Palmer) Stoynoff & W.J. Hess,-94.37221,35.07234
Quercus acerifolia (E.J. Palmer) Stoynoff & W.J. Hess,-93.66597,35.16711
Quercus acerifolia (E.J. Palmer) Stoynoff & W.J. Hess,-93.66592,35.16722
Quercus acerifolia (E.J. Palmer) Stoynoff & W.J. Hess,-93.66397,35.1676
Quercus acerifolia (E.J. Palmer) Stoynoff & W.J. Hess,-94.217266,36.0312
Quercus acerifolia (E.J. Palmer) Stoynoff & W.J. Hess,-94.217394,36.031394
Quercus acerifolia (E.J. Palmer) Stoynoff & W.J. Hess,-94.2175,36.0314
Quercus acerifolia (E.J. Palmer) Stoynoff & W.J. Hess,-94.217504,36.031409
Quercus acerifolia (E.J. Palmer) Stoynoff & W.J. Hess,-94.217729,36.031709
Quercus acerifolia (E.J. Palmer) Stoynoff & W.J. Hess,-90.261117,38.612367
Quercus acerifolia (E.J. Palmer) Stoynoff & W.J. Hess,NA,NA
Quercus acerifolia (E.J. Palmer) Stoynoff & W.J. Hess,NA,NA
Quercus acerifolia (E.J. Palmer) Stoynoff & W.J. Hess,NA,NA
Quercus acerifolia (E.J.Palmer) Stoynoff & Hess,NA,NA
Quercus acerifolia (E.J.Palmer) Stoynoff & Hess,NA,NA
Quercus acerifolia (Palmer) Stoynoff & Hess,NA,NA
Quercus acerifolia (Palmer) Stoynoff & Hess,NA,NA
Quercus acerifolia (Palmer) Stoynoff & Hess,NA,NA
Quercus alamarensis,NA,NA
Quercus alamarensis,NA,NA
Quercus alamarensis,NA,NA
Quercus alamarensis C. H. Müller,NA,NA
Quercus arkansana,-84.9852,30.279317
Quercus arkansana,-86.427276,30.503623
Quercus arkansana,-86.499302,30.516311
